id,mean,2.50%,50%,97.50%,n_na,temp
911,11.34517368,11.11595744,11.34329975,11.57329936,0,26.1
912,11.33511665,11.10609022,11.33311966,11.56358795,0,26.11
913,11.32507819,11.09624119,11.32300322,11.55350243,0,26.12
914,11.31505825,11.08641693,11.31290807,11.54321388,0,26.13
915,11.30505682,11.07656703,11.30280656,11.5335385,0,26.14
916,11.29507388,11.06665514,11.29310086,11.52377271,0,26.15
917,11.28510941,11.05694317,11.2830669,11.51366147,0,26.16
918,11.27516337,11.04720353,11.27314044,11.50363776,0,26.17
919,11.26523575,11.03732644,11.26317886,11.49330003,0,26.18
920,11.25532652,11.02756176,11.25317573,11.48353442,0,26.19
921,11.24543567,11.01772308,11.24317923,11.47373144,0,26.2
922,11.23556318,11.00803464,11.23333306,11.46352376,0,26.21
923,11.22570903,10.99799107,11.22350079,11.45333373,0,26.22
924,11.21587318,10.98874646,11.21378641,11.44316171,0,26.23
925,11.20605564,10.97960718,11.20423004,11.43301303,0,26.24
926,11.19625635,10.97003907,11.19449816,11.42321853,0,26.25
927,11.18647534,10.96048441,11.18484113,11.41324369,0,26.26
928,11.17671257,10.95078312,11.17527965,11.40308779,0,26.27
929,11.16696802,10.94117205,11.16550706,11.39284281,0,26.28
930,11.15724167,10.93155316,11.15558644,11.38246597,0,26.29
931,11.14753351,10.92222721,11.14613339,11.37239344,0,26.3
932,11.13784351,10.9125069,11.13662969,11.36227111,0,26.31
933,11.12817168,10.90297882,11.12685349,11.35243565,0,26.32
934,11.11851797,10.8935712,11.1173689,11.34260718,0,26.33
935,11.10888238,10.88389939,11.1076639,11.33252808,0,26.34
936,11.09926492,10.87419037,11.09792167,11.3230652,0,26.35
937,11.08966554,10.86437665,11.08852061,11.31357173,0,26.36
938,11.08008424,10.85482119,11.07889786,11.30394154,0,26.37
939,11.070521,10.84530758,11.06948862,11.29439821,0,26.38
940,11.06097583,10.83617949,11.05994352,11.28484795,0,26.39
941,11.05144868,10.826781,11.05031039,11.27527158,0,26.4
942,11.04193956,10.81729976,11.04066903,11.2656708,0,26.41
943,11.03244849,10.80779783,11.0313808,11.25588898,0,26.42
944,11.02297539,10.79834754,11.02214033,11.24595483,0,26.43
945,11.0135203,10.78889047,11.01264817,11.23620501,0,26.44
946,11.00408318,10.7797528,11.00322823,11.22628858,0,26.45
947,10.99466404,10.77047087,10.99389246,11.21648682,0,26.46
948,10.98526287,10.76102086,10.98461262,11.20687334,0,26.47
949,10.97587965,10.7514119,10.97533728,11.19741681,0,26.48
950,10.96614593,10.74208889,10.96602552,11.18782832,0,26.49
951,10.95663599,10.73279038,10.95662959,11.17869087,0,26.5
952,10.94695141,10.72360683,10.94728568,11.1691091,0,26.51
953,10.93815172,10.71499557,10.93804877,11.15989988,0,26.52
954,10.92879255,10.70509517,10.92886496,11.15070176,0,26.53
955,10.91978121,10.695822,10.91967026,11.14165663,0,26.54
956,10.90984498,10.68657375,10.9103512,11.13227423,0,26.55
957,10.90130567,10.67745937,10.90094142,11.12346295,0,26.56
958,10.89183993,10.6688866,10.89178559,11.11415907,0,26.57
959,10.88255807,10.65968581,10.88250504,11.10539223,0,26.58
960,10.87360724,10.65128806,10.87314582,11.09645487,0,26.59
961,10.86365249,10.64183546,10.86401756,11.08688975,0,26.6
